content,sentiment
Game ramah lingkungan cocok buat mabar sama keluarga dan playernya Baik² Agak stres tapi gpp... Eek,positif
Mantap,positif
Game nya bagus👍,positif
Game ramah,positif
ngasih musuh yng ngotak sikit sat,negatif
Puas lah banyak drak sistem nya hihi,positif
Good to games,positif
Monton kamu benci aku ya kok aku kalah terus kamu benci aku aku masih gm loh ton apa lagi epic kek gimana:(,positif
mantap,positif
game keren,positif
Kasih lawan yg gak seimbg,negatif
sangat bagus,positif
Good,positif
Bagus,positif
saran saya diupdate selanjutnya moonton bisa menyeimbangkan matchmakingnya,positif
Realme gt Neo 3 kapan bisa grafis ultra?,positif
Mantal,positif
Game nya seru btw aku jungle terbaik,positif
Lumayan seru tapi kenapa di kasih ls terus monton😭😭🥹🥹😭😭,positif
Mantap bikin stres!,positif
Game banyak dark sistem,positif
"game yg sangat bagus,mampu membuat anda gila",positif
"Sumpah ini game gak bagus banget , mending main HOK aja . Ini game banyak dark sistemnya , apalagi banyak yang ngetroll.sistem matchmaking gak adil , banyak bug , apalagi banyak cheat . Udahlah berhenti aja main game moba ini. Bikin stress",negatif
I like this game,positif
Oke lhhh,positif
Game yang sangat menghibur,positif
Sangat bagus dan menghibur,positif
Good,positif
bagus,positif
bagus,positif
kelas,positif
Monton banyak bacot gk punya mata udah beberapa kali gwa main dapet nya musuh gloryy imortal masa tim gwa honor nya cuma 1 lainnya lejen kok musuhnya gloryy 2 importal nya 1 gak adil itu jadi gk seimbang pertandingan nya gl terima gwa game apa ini mending HONOR OF KHING pertandingan nya seimbang banget sesuai kemampuan dan rank nya yang milihnya ML gwa saranin pindah aja,negatif
okk,positif
Banyak player toxic,positif
gaenaknya ketemu dark sistem,positif
"GAME JELEKKK, INTERNET KU BAGUS, TP MAIN TTP NGELEGG, MANA KALO DPT TIM PENGHUNI ASLI, TP MUSUH MENTAN IMOO",negatif
Gamenya luar biasa,positif
Luarbiasa,positif
Montod🤡,negatif
Game ini sangat jelek saya dikasih kalah Mulu timnya beban saya kesal karena game ini kasi saya kalah banyak kali buang buang waktu main tapi kalah game ini sangat jelek sekali,negatif
Kanapa kok aku kalau masukdi game nya pasti ngelak pasti di pembukaan mulu yg ada tulisannya mobile legendya aneh.,negatif
Mantap,positif
Game nya bgus,positif
Rame,positif
Saya ada star proteksi dua tapi pas kalah tetep turun knp gitu min??,negatif
mantap,positif
2ow,positif
Monton yatim gw cape lol lostraik 26 kali lu kalo kasih musuh jangan susah ap monton gw sumpahin gedung lu kebakar ran amin awas aj lu di kasih draksistem lagi ╭∩╮（︶︿︶）╭∩╮,negatif
Menurutku Game yang memuaskan,positif
❤,positif
defeat trus,negatif
Banyakin lagi event skin heronya,positif
mntap,positif
Mantal moonton,positif
Bagus dan ramah,positif
Toll!!! Ngasih tim sampah truss!!,negatif
Ok,positif
"Boleh""",positif
Apa coba,positif
Geme ny seruu,positif
mantap,positif
banyak dark sistem,negatif
Game ini sangat keren 🤩,positif
"aku beri bintang 2 karena aku sering di beri dark sistem padahal 1 bintang lagi aku akan mencapai rank legend , jadinya malah turun lagi ke epic 2 PUCKLAH",negatif
Nice,positif
Seru,positif
Kurangin dark sistemnya moonton,positif
Bagus loh,positif
Mantap,positif
Mantap,positif
Mobile legend game seru asik pengen diamon 50000 plis montoon,positif
kasi tim yg bener ya montoon,positif
GA PUNYA DARK SISTEM,positif
Karna keren,negatif
Katanya mau menjaga keadilan untuk semua player tapi kok kasih tim yang sengaja mau nge troll. Apakah kalian sehat,negatif
Nice,positif
Mantap,positif
"The game is starting to get weird, not like before.Her role is according to her build, so please ban people who use Chang'e attack speed. (Game nya sudah mulai aneh. Tidak seperti dulu, role nya sesuai dengan build nya, jadi tolong banned orang yang menggunakan chang'e attack speed)",negatif
Game bgusss dan mantap,positif
Mantap,positif
Ok,positif
game yang sangat memuaskan otak,positif
Moonton keluarin sikin dayrot kolektor,positif
Game ramah,positif
sangat bagus,positif
Gem seru dan menyenangkan,positif
Game nya sangat bagus tapi banyak orang yang toxic dan meleceh kan orang lain,positif
bagus sekali,positif
Seru,positif
Gacor,positif
game babi ngapainn gua dikasihh tim tololl Mulu,positif
Game seru dan menantang,positif
mantap,positif
Bagus,positif
Mantap,positif
Kecewa sama ml soalnya setiap mau naik bintang di kasihh deak sistem takut kalah saing monton mending ff,negatif
Game nya bagus tapi kadang di kasih drag sistem tapi it's okay mantap,positif
keren game nya,positif
Geme yang menarik untuk di mainkan dan saya setiap main geme ini saya ketemu draksistem Bukan draksistem doang misal ketikan saya main dapat roll yang sama dan tim nya begok banget dah terimakasii monton selama 2 th ini,positif
"GAME NYA BAGUS, DAN SANGAT AMAT BERKUALITAS!, MUNGKIN YANG KURANG CUMAN EFEK DARI SKIN LIGHTBORN DOANG, TERUTAMA TIGREAL LIGHTBORN, SEMOGA DI SEASON ATAU UPDATE SELANJUTNYA HERO TIGREAL AKAN DI REVAMP DARI MODEL TAMPILANNYA DAN EFFEK DARI SKIN LIGHTBORN,! DENGAN INI SEMOGA MOONTON MENDENGARKAN MASUKAN ATAU OPINI SAYA, SAYA UCAPKAN! TERIMAKASIH!!!...",positif
Monnton aku mohon monnton saat saya bermain saya selalu dapat delay sesat bermain itu jadi kurang mengasikan dan satu padahal sinyal saya lancar tapi masih saja delay dan ngelag jadi mohon kerja sama nya monnton perbaiki hal itu nanti saya kasih bintang lima,negatif
game terburuk gw ga di kasi menang ketemu drak sistem mulu,negatif
"Game nya sangat Seru dan Happy, kadang jaringan aja yg kurang baik!!!",positif
Bagus tapi pemainnya rata² kasar,positif
mantap,positif
Kenapa pengaturan highlight nya kok tiba tiba hilang tiba tiba ada,positif
MLBB Memeang Game Yang Terbaik ❤️,positif
Bagus,positif
Capee bangett main solo kalah terus dapet tim yang ngetrol,negatif
"Trimakasih monton udh kasi skin gratis,udh ngk kikir lagi 😹",positif
kren,positif
Buat hiburan aja mantep lah,positif
Banyak yang sigma,positif
Game yang bagus,positif
Skin gratis lgi moonton,positif
sebaik nya ban akun orang yang suka nge trol...,positif
Cukup baik,negatif
Mantap,positif
Mantap banget,positif
Mantap,positif
game ini seru dan bagussssssssssssssssss! Mantap,positif
game burik,positif
Ml jaringannya ngelek ngelek padahal udah didepan ku wifi tapi tetep ngelek dasar mati suri huuuuuuuuuuuuuuuuuuu😎😎😎😎,negatif
Istimewa,positif
Oke tetapi masih banyak dark sistem,positif
GRAfik tambah bagus,positif
Mayan,positif
Hapus dark sistem min,negatif
mending gak usah main cok mending main hok,negatif
Geme seru,positif
"tetap saya kasih bintang satu kasihan, setiap bermain pasti di buat lelet padahal jaringan stabil. dan sistem buat kita kalah.",negatif
Good Game,positif
mantap,positif
bagus tapi banyak dark sistem,positif
Kesel banyak dark system seneng lu moonton ? Mending gw maen hok kalo gini truss !!!,negatif
Monton klo yg maen solo ngasih tmn ny yg bnr dong jngn darksistem,positif
"Makin rusak baru login main dah kalah dikasih tim ngetroll lah feederlah dari 5 pertandingan tak satupun menang,musuhnya jago"" sedang tim haduh buta map,bacot,ketemu orang Mabar sedang kita solo, match making gak imbang sering terjadi,lag saat war,booting masuk"" lose,Ngebung,kadang gak bisa gerak skill gak respek dan yang paling saya benci masih banyak cheater berkeliaran,tolong perbaiki solo dengan solo,klo main kalah terus namanya bukan main tapi sengaja dari pihak moonton.",negatif
"Not bad, banyakin lagi event collectornya",positif
Makasi om muntun,positif
sangat seruuu,positif
seru sekali,positif
Bagus,positif
Game ny sangan bagus dan menarik untuk di mainkan,positif
Top aset,positif
MOONTON PEMILIHAN TIM YANG BENER GW UDAH LOSE 20 KALI OTAK LU DIMANA SKIN GRATIS BANYAK TIM KAGA JELAS MENDING PERBAIKI SISTEM MATCH NYA GA USAH BUAT BUAT EVENT GRATISAN MENDING PERBAIKI SANA SISTEM SOLO RANK GAME GAJELAS,positif
Game keren banget kurangin dark sistem,positif
kurangi drak sistem muntun,positif
Kren,positif
nice,positif
Bagus,positif
P minta Dm,positif
lag,positif
gw pencet rerti berkali kali gakpencet ajg jdi gdpet buff biru,negatif
Bagus,positif
Bagus,positif
"Server indo lagi down parah jadi jangan main emel,gw download dpt tim nya dark sistem semua, mending joki",negatif
Sangat menyenangkan,positif
Lumayan lh update nya,positif
saya suka game ini,positif
game terbaik,positif
Dingin tetapi tidak kejam🥶🥶,positif
Game baik,positif
GUA DARI TADI KALAH MELULU TURUNIN AJA GUA DI WARIOR TIM GUA GAK JELAS GUA DOANG YANG KIL 11 YANG LAIN MATI MELULU GUA RATING BIMTANG1,negatif
🔞,positif
Pokoknya manteplah,positif
Uuuu montoon pilih kasih game rusak,negatif
Ga seru game nya masa. Ada. Ava lemah,negatif
Montoon klo gw main di kasih dark system awas looo..ud gw ksh b 5,positif
Sinyal lag2 trus,negatif
"Demi apa gk nyesel downloud game ml , yang baca wajib downloud jugaa yaa😀😃😊😊😊",positif
bagusd,positif
Ml ajg di draksistem terus aku jadi lostrik aku ml memang Kon t0l,positif
game ini sangat cocok untuk di mainin bareng teman teman kalian pasti akan seru,positif
Menyenangkan,positif
manteps,positif
Dari jaman dlu smpe skrng selalu main ml gapernah bosen...ada ajah gebrakan barunya🔥,positif
Bagus,positif
Sangat keren,positif
Sangat puas,positif
Mantap gak kikir lagi,positif
nice,positif
Tolong kasih normal monster jungel nya. Kasih kembali ke normal monster jungel nya. Kran kita tidak dapat farming klw begini terus.....????,positif
"bagus sekaliiii, dapet tim bagusss trusss",positif
gamenya seru,positif
Bagud,positif
Game bagus aja sih tapi player nya aja kadang banyak yg ngetroll jadi gak seimbang permainan nya,positif
Game bagus,positif
Menarik untuk di mainkan,positif
kerennn,positif
Seru,positif
"Gaje banget pemilihan timnya, musuh pro timnya bot, gak adil banget.",negatif
gamenya poin,positif
game seru,positif
Game babi,negatif
Nice,positif
Menggerakkan kembali dengan penampilan yang lebih baik.,positif
Kenapa game aku gak bisa di buka kalok pakai telkomsel tapi kalok xl bisa mohon pemberitahuannya,positif
kadang bikin kesel kalo ketemu tim gajelas,positif
Banyak Drak Sistem,positif
game mantap,positif
"dapet team ga waras mlu, tolol",negatif
Bagus sekli,positif
Bagus tapi sering kalah,positif
Samangi,positif
Game ini bagus dan bermanfaat bagi mental🗿,positif
"makin ga jelas aja lama' timnya, kadang juga ngelag padahal ping hijau,",negatif
Matap,positif
Bagussss cman rada gak jls .antara emblem fuull dg blm...g da perbedaaan damage,positif
good game broo,negatif
Bagus,positif
MATCH MAKINGNYA AMPASS . GW GLORY 600 TABRAK KIN NYA YANG 5000,positif
Dari sistem,positif
tolong montoon kurangi DARK SISTEM nya saya sudah muak kalah mulu karna tim gak bisa main lama lama saya pindah juga ke honor of king,negatif
👍🏻,positif
Bagus,positif
Musuh nya jago Temen kaya gak bisa main Kasih temen yg stara lah,negatif
oke oke,positif
"Sangat seru, no bosan bosan",positif
Sangat seru,positif
Monton makasih sekin nya,positif
anjai,positif
jelek kalah terus,negatif
"Sangat bagus dan keren,dan timnya sangat sangat amat pada jago",positif
Bug ada Hh,positif
Pakai akun lama jaringan ga stabil. Begitu nyoba ganti akun lancar2.,negatif
Game seru,positif
Game dark sistem setiap mau naik mitik selalu kalah mending main honor of king,negatif
Haha,positif
Games sesat games kambing,positif
Minta tim bagus udah itu aja,positif
Update nya mantep bngt,positif
"Rame woey,tapi kurangin lah dark sistem nya",positif
game moba terbaik,positif
Bisa menghilang kan sttesssss😁😁😁,positif
Game gaje bnyak bug system gk seimbang pas main game katanya draftpick seimbang malah di kasih tim bot musuh jago apalh moonton apalah,negatif
kasih saya immo,positif
Mantap,positif
Keren banget game ini asli,positif
game tolol mending pindah honor of king aja,negatif
Cukup menghibur,positif
Game nya bagus,positif
Bagus,positif
gamenya sangat baik,positif
Good,positif
Keren,positif
Ntap,positif
Mantap,positif
GAME BAGUS SEKALI 👍👍👍👍👍LAGI,positif
GAME KONT00L ASU DPET TIM DARK SISTEM KABEH KONT00L!,negatif
Mantap,positif
The best game in the universe,positif
Gamenya Bikin Candu Dan Bikin Tantrum Banyak orang Random Yang Asik,positif
Gg lekkk,positif
Josss,positif
Sekarang ml gak kayak dulu lagi tim isinya rasa epick musuh rasa glory sama perhitungan mvp,negatif
"gabisa buat sistem buat aja turunin rating nih game, event doang bagus buat semakin banyak ada dark system game ga guna event no 1 dark system gadiurus developer biadab",negatif
Game asu di kasih tim gak bisa main terus untung gua jago,negatif
ok,positif
Seru,positif
Mantap,positif
Game bangsat,positif
tim nya jelek terus,positif
Bagus,positif
lagi banyak skin gratis makasih monton,positif
Bagus,positif
Winstreak klo mau turun season👍🤣,positif
Anjay,positif
Bagus,positif
cocok untuk kegabutan kuu wkwkkw,positif
Banyak dark sistem,positif
Bgus,positif
bagus game nya,positif
Permainannya bagus,positif
Game ga adil banyak cit,negatif
Madep sekali gamenya,positif
sangat menyenangkan game nya,positif
BAGUSSS,positif
"Game gak asik,HOK lebih asik kalian main bukan masalah apa cuma teman ama musu itu beda jauh yaa untuk monton di perbaiki sistemnya biar lebih nyaman playernya monton anj.....ing",negatif
bagus,positif
Pindah main semuanya ke HONOR OF KING guys. Game buruk,negatif
Ini sanabg babbgussdu,positif
Game burik ajg,negatif
Game nya cakep bgt cocok untuk yg lgi bosen,positif
gamenya bagus jadi ku kasih bintang satu aja,negatif
moonton gift away rog pls,positif
"TOLONG DONG ILANGIN DARK SISTEM NYA, KASIH MUSUH NYA YANG SE IMBANG",positif
Dark system,negatif
Gamenya seru,positif
Mantap,positif
Game sangat menyenenang kan,positif
game rusak,negatif
banyak drak sistem,positif
Game bagus bgt,positif
Bagus,positif
Gamenya burik player nya juga sifat nya rasis sara gamenya juga plagiat wild drift aku benci game ini,positif
not bad,positif
Keren,positif
Game ini sangat seru tapi terkadang ada juga drak sistem ya,positif
seruuu,positif
Y aja sih,positif
Cakep,positif
Moonton ganteng banget sih kamu hari ini,positif
game yang sangat bagus untuk di mainkan bersama teman teman,positif
Keren abis Luar biasa,positif
Semakin di update semakin t ai mending ini game di hapus dari plystore tim nga ada akhlak masa gua legend dan di kasi tim grenmaster baj ingan hapus² aja yg setuju kali like.,negatif
Topp 1 nih,positif
Sangat bagus,positif
Monotn jahat gw LS,positif
ok,positif
Tolong imbangkan matchmakingnya saya dapat tim yang bodoh sekali dari kemarin,positif
game sangat bagus ada pengalaman bermain sangat di butuh kan sanz,positif
Jelek,negatif
Game yang sangat seru dan menarik,positif
Saran jangan terlalu kikir,positif
Mantap banget,positif
Mantul,positif
Mntep,positif
Bagus bgt tapi aku masih di master soalnya cepat season,positif
game di hapus aja dari play store,negatif
Bagus,positif
"maaf nih moonton😞🙏saya tidak bermaksud mengejek nama baik game nya tapi,saat saya mau login,saya tidak bisa ke lobi game,dan sepertinya saya tidak bisa masuk lagi ke game moba ini,untuk developer game mohon untuk diberi batas dowload data pada hp ram 2 😞🙏",positif
lumayan bikin hati panas,positif
Game yg sangat seru untuk dimainkan!!,positif
Nice game,positif
Hebat,positif
Game yg sangat bagus,positif
Lawan terlalu sulit pertandingan jadi tidak seimbang masih mendingan HONOR OF KING,negatif
"Sangat menyenangkan dan menenangkan, cocok buat nyantai di malam hari",positif
Keren game nya,positif
Game nya bagus dan tolong jngn di banyakin skin gratis benerin dlu sistem drafpick nya,positif
game seruuu bangetttt,positif
Maaf kasar,positif
Keren bgt,positif
Keren gane nya,positif
Mohon diperbaiki jaringan nya,negatif
Maaf cuma 5⭐ 😊. Terimakasih,positif
good,positif
Mantap,positif
Masi kurang bagus banyak lag dan dark sistem.tpi oke lah,positif
bagus,positif
"Saya sangat senang memainkan game ini Seluruh player nya sangat sopan , tidak memandang ada sebagai cowok atau cewek anda akan di puji , di sanjung , di ajak partyan jika anda jago memainkan game ini namun berbeda jika anda tolol saat bermain game ini anda akan dihina , di bully, di kataiin yatim / piyatu , di bilang anak haram , setan , bot ,dark sistem , dan player di game ini tidak memandang status kekayaan keluarga kalian sekelas anak presiden aja di buly sama player mobilegends / anak mntn",positif
Game,positif
Waw kren,positif
👍🤙,positif
Mantap,positif
saya tidak pernah bosan main mobile legends,positif
bagus tapi masalahnya banyak dark sytem,positif
GEMYA BAGU MONTON MEMANG BAIK HATI KASIH SEKIN GERATIS,positif
tolong aja dark system nya dikurangin,negatif
Bagus sekali,positif
"tolong sepadankan tim dengan musuh,jngn kasih ls mulu,lu baik ngasih skin secara gratis,tpi minusnya lu sering ngasih ls,tolong untuk kedepannya seimbangkan tim dengan musuh",negatif
"Game nya seru,",positif
Game rusak orang sianyal bagus semua nya bagus malah lag bodo,negatif
Geme mantap,positif
Beri kami skin legend gratis montton,positif
Baik tapi buruk segar tapi sesat sehat selalu monton aku suka gem ml,positif
Kurangin player Noob nya,positif
Game haram tolol playernya cuma bisa bikin emosi aja gada mod buat main ni game makin lama makin tolol,positif
game yang ramah😄,positif
Mantap hehe lanjutkan give away skinnya min,positif
Mantap bos,positif
game tolol,positif
Bagus,positif
mantap,positif
Good,positif
bagus ini tapi Kash tim yang jago lah,positif
bagusss,positif
"Gacorr kamng, skin gratis lagi",positif
Keren,positif
Mantapppppppp,positif
Bagus,positif
"game seruh, bagus sekali terima kesi developer mobile legends uda update sampe se keren ini terus update dan jadi game terbaik. semangat👍💯",positif
Bagus saya suka bermain ml,positif
🥰 🥰,positif
Mantap mantap mantap,positif
kren,positif
kasih musuh yang kerasssssss,positif
Sangat disarankan untuk bermain game inj,positif
Gem jos,positif
"Skin aja terus tambahin, server bobrok",positif
"Gamenya keren bet sih baru aku mainin berapa kali rasanya kayak mainin game competitive lain dan ngajarin kita buat berfikir logis, kritis dan cepat",positif
game bagus tapi kalo dilock musuh jadi gabagus,positif
Game terbaik,positif
Memuaskan,positif
gila keren banget,positif
Banyak drak sistem,negatif
Game good,positif
mending main HOK,positif
"Kerens sih Bisa buat gua tmbah semangat main ,buat hilangin suntuk karna introvertt",positif
mantap,positif
Mantap banyak dark systemnya,positif
Mobile legends terbaik pokok nya lebih baik dari game sebelah Seru suka ada even skin geratisan 🤣😅🙏,positif
nice,positif
game bagussss banget,positif
sangat bagus,positif
Game yang memuaskan,positif
"terlalu besar data"" nya",positif
Ga pernah ngebosenin,positif
njay,positif
Seru banget!!!!!,positif
kurang i tim yang ga enak,positif
Game ini bagus,positif
"Terimakasih skin gratisnya, saya berharap pertandingan semakin adil dan seimbang",positif
Tolong moonton akun yang terdeteksi joki dibanned aj supaya pengalaman bermain lebih asik berhubung ketika bermain windrateny bagus akan tetapi di in game kayak player epik atau bot komputer makany ini saya kasih bintang 3 klo masih tidak diperbaiki mending main HOK,negatif
Dark sistem kon,negatif
Kont,negatif
bagus dan seru,positif
"Pls ton mana skin legend gratis nya Aku tu agak miskin, disaat pendukung mu mana map mana map itu ga rispek banget ton dan juga lupa fitur mengatur menit di replay ya ton",positif
Game yang sangat sopan,positif
Keren,positif
Hiburan di saat badmood cocok bnget bagi aku yg stay di rumah trus,positif
boleh2 lahh,positif
Sangat baik untuk pemula,positif
Keren abis pokok keren,positif
Saya suka dengan game nya,positif
ni gme skrg makin tolol gk si soal matcmaking yg gk adil ..kita main gme biar gk bosan ini malah bikin emosi ..ayoo kita pindah ke HOK kwn,negatif
"Sistemnya berat ,, terkadang demege nya sering ngga stabil meski tanpa counter item",negatif
gila,negatif
game bagus,positif
Cihuy,positif
Ok,positif
Good,positif
Sangat baik,positif
"Dapet musuh pake joki/cheat curang 😡😡😡😡, tolong dong pihak moonton yang pake joki/cheat ban nya 30tahun (kesel banget)",negatif
Game nya keren banyak drak system 🗿,positif
Mntap,positif
iloveu moonton tapi jauhin dark sistem dari aku ya moonton,positif
Vauibiwe,positif
"Dear, moonton kalau kasih musuh yang ngotak laa",positif
Niceeee,positif
Sangat bagus sekaliiii MOONTON,positif
Game sih hd tapi APUS drak system' lah,positif
Moonto pendo,negatif
"suka si tapi, jaringan matching nya di seimbang lagi",positif
"Halo moonton, bisa lah 5000DM🥰🥰",positif
bagus,positif
Game sangat bagus ramah,positif
Ok,negatif
Ok,positif
Goodd,positif
Tolong masalah jaringan di perbaiki,positif
Bannyak drak sistem,negatif
Game burik,negatif
"Waktu pick normal jaringan,tpi pas masuk game jaringan ga jelas leg trus,monton yg bner lah",negatif
Seruuuu buaanggget mohon ml kasih lawan yang sepadan,positif
Mending ml banyak fitur nya dan nggk over efek ny,positif
mantul,positif
BAGUS,positif
Nice,positif
Gud marigud,positif
Good game,positif
good,positif
Sangat baik,positif
Bagus sekali . Asyik yes. .antap,positif
Good,positif
bagus,positif
Geme nya bagus seru lagi aph lagi turun ke badak,positif
Sangat mantap tapi jangan di kasih dark system ya papi monnton tercinta muachh,positif
Saya sangat suka... Ini menurut saya game moba paling seru the best ❤️❤️❤️❤️💯💯💯💯💯.,positif
Bugus,positif
bagus gamenya,positif
"Mantap tp tolong dong , battle point di buat jd berguna , udh punya 200k+ tp gatau mau buat apaan",positif
good,positif
Game yang sangat bagus!!,positif
Game ya bagus,positif
Menarik,positif
.epic,positif
Game yang sangat cocok untuk dimainkan,positif
Bagus,positif
Nice,positif
iya,positif
Puaaas,positif
Game yang tidak membosankan,positif
"Mantap, Player ramah ramah",positif
Kurang kurangin satu tim dengan bot,positif
Gem gak jelas menang sekali kalah berkali kali mendingan main honor of kings,negatif
Bagusss HD,positif
Game bagus banget,positif
sangat bagus,positif
Gamenya seru bngt:v,positif
GAME YANG SANGAT BAGUSS UNTUK D MAINKAN,positif
Game bagus,positif
alay,positif
Mantap pokoknya enak banget di main + bangettt,positif
Tolong kasih tim saya yang ga dark sistem biar naik glory minimal soalnya stak di hobor,negatif
Sangat bagus,positif
penuh dark sistem,positif
Mantap,positif
kenapa Mobile legend saya selalu force close pada loading screen setiap 8% atau 53% saya keluar dan kembali ke menu saat saya menggunakan argus mohon di perbaiki,negatif
Game nya sangat bagus,positif
Kurang lebih begitu,positif
Aga seru,negatif
best,positif
Ilangin dark system dong🗿,positif
Sangat bagus,positif
"playernya kebanyakan dark sistem, game asu",negatif
mantapppp,positif
Bgus,positif
Mantapp,positif
Sangat seru tidak membosan kan,positif
game keren bnyak event nyaa mantap,positif
sangat menyenangkan,positif
Game nya keren,positif
Bagus,positif
kurang kurangin drak sistem nya monnton,positif
Pler.,positif
4 aja karena banyak darck sistem,positif
Sangat hebat,positif
"kerenn, semangat teruss muntunn i lop muntun",positif
"Moonton, tolong berikan sedikt buff kepada dyrroth. karena aku player sejati dyrroth. tolong berikan sedikit efek pemecah armor dyrroth menjadi 80% dan 60% pada fase pertama. dan ulti dyrroth agak sedikit dipercepat dan di perluas jangkauannya",positif
Game moba terbagus yang pernah saya mainkan👍,positif
"KALIAN YANG MAU DOWNLOAD GAME INI MENDING GAUSAH DOWNLOAD, BANYAK DARK SISTEMNYA YANG AKAN MEMBUAT KALIAN MENJADI STRESS DAN GILA",negatif
aku raja carry,positif
Game sangat bagus,positif
b aja,positif
Bagus tolong kasih kawan yang bagus ini ketemu dark sistem dulu,positif
Good game,positif
Josss burik,positif
Bagus,positif
"Moonton jangan pelit"" lah Fregmen ping itu kok misinya harus beli skin",positif
👍,positif
Masalah nya munsuh nya kgak bener dapet munsuh gg mulu,positif
Mantap!!!!!,positif
Game nya sangat bagus,positif
game nya sangat ramah,positif
Masi sering dapat tim yg serasa dark sistem,negatif
game nya bagus sekali,positif
bagus lahh,positif
hahahahahah,positif
Game nya enak untuk di mainnkan,positif
itu bagus hayukk,positif
aku sayangggg muntunnnn,positif
Mobile legends seru banget,positif
Game rusak,negatif
Game muantappp,positif
Moonton ngak adil masa tim lawan di kadih jago² sedangkan tim gua dark sistem,negatif
Sangat menyenangkan,positif
Baguss!!,positif
keren,positif
"game ini sangat seru sekali cocok untuk kalian yg sedang kesepian, coba gua punya pacar mungkin gua ga bakal main game ini",positif
Permudah pemain solo dan perbanyak skin gratisan,positif
bagus ml jaya jaya jaya,positif
Lumayan,positif
kenapa selalu di kasih ls si anying nge draw event selalu ga beruntung astaga,negatif
game keren,positif
Tau lah,negatif
ml kerenn,positif
Mayan bang,positif
Bagus,positif
game nya tidak bikin bosan,positif
Sangat keren sekli,positif
Serusih tapi banyak darksistem,positif
kemren moonton,positif
Suka sangat sekali,positif
Kena drak sistem asu monton,positif
